facility_id ,facility_category                                                                               ,facility_size      ,state                           ,city                                              ,phone       ,is_premium ,premium_since ,is_churn ,churn_since
       4960 ,consultorios de nutriologos y dietistas del sector privado                                      ,11 a 30 personas   ,baja california                 ,mexicali                                          ,6669919091  ,         1 ,3/15/2021     ,1        ,5/12/2021
       5040 ,consultorios de medicina especializada del sector privado                                       ,6 a 10 personas    ,baja california                 ,tijuana                                           ,6617996301  ,         0 ,na            ,na       ,na
       5120 ,laboratorios medicos y de diagnostico del sector privado                                        ,0 a 5 personas     ,baja california                 ,mexicali                                          ,6669923371  ,         0 ,na            ,na       ,na
       5200 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,baja california                 ,tijuana                                           ,66112679    ,         0 ,na            ,na       ,na
       5280 ,laboratorios medicos y de diagnostico del sector privado                                        ,31 a 50 personas   ,baja california                 ,tijuana                                           ,0           ,         1 ,5/31/2022     ,1        ,9/12/2022
       5360 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,baja california                 ,tecate                                            ,666969      ,         0 ,na            ,na       ,na
       5440 ,consultorios de nutriologos y dietistas del sector privado                                      ,0 a 5 personas     ,baja california                 ,mexicali                                          ,6669766296  ,         1 ,9/4/2022      ,0        ,na
       5520 ,consultorios de optometria                                                                      ,0 a 5 personas     ,baja california                 ,tijuana                                           ,6616696916  ,         1 ,12/6/2020     ,0        ,na
       5600 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,baja california                 ,mexicali                                          ,0           ,         0 ,na            ,na       ,na
       5680 ,otros consultorios del sector privado para el cuidado de la salud                               ,0 a 5 personas     ,baja california                 ,san quintin                                       ,6161196293  ,         1 ,11/2/2022     ,0        ,na
       5760 ,consultorios de medicina general del sector privado                                             ,6 a 10 personas    ,baja california                 ,mexicali                                          ,0           ,         0 ,na            ,na       ,na
       5840 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,baja california                 ,tijuana                                           ,0           ,         1 ,12/16/2020    ,1        ,10/11/2021
       5920 ,"consultorios del sector privado de audiologia y de terapia ocupacional, fisica y del lenguaje" ,0 a 5 personas     ,baja california sur             ,la paz                                            ,61213196    ,         1 ,3/4/2022      ,1        ,3/16/2022
       6000 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,baja california sur             ,los cabos                                         ,62117171    ,         1 ,3/16/2020     ,0        ,na
       6080 ,laboratorios medicos y de diagnostico del sector privado                                        ,0 a 5 personas     ,baja california sur             ,los cabos                                         ,621226      ,         0 ,na            ,na       ,na
       6160 ,laboratorios medicos y de diagnostico del sector privado                                        ,0 a 5 personas     ,baja california sur             ,los cabos                                         ,0           ,         0 ,na            ,na       ,na
       6240 ,clinicas de consultorios medicos del sector privado                                             ,11 a 30 personas   ,campeche                        ,escarcega                                         ,9626213122  ,         0 ,na            ,na       ,na
       6320 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,baja california sur             ,mulege                                            ,6191972929  ,         0 ,na            ,na       ,na
       6400 ,hospitales generales del sector privado                                                         ,6 a 10 personas    ,baja california sur             ,la paz                                            ,6121231992  ,         0 ,na            ,na       ,na
       6480 ,laboratorios medicos y de diagnostico del sector privado                                        ,0 a 5 personas     ,campeche                        ,calkini                                           ,0           ,         1 ,8/10/2021     ,1        ,9/18/2021
       6560 ,"consultorios del sector privado de audiologia y de terapia ocupacional, fisica y del lenguaje" ,0 a 5 personas     ,campeche                        ,calkini                                           ,0           ,         0 ,na            ,na       ,na
       6640 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,baja california sur             ,la paz                                            ,6121311311  ,         1 ,10/7/2022     ,0        ,na
       6720 ,consultorios de psicologia del sector privado                                                   ,6 a 10 personas    ,baja california sur             ,los cabos                                         ,6213993612  ,         0 ,na            ,na       ,na
       6800 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,coahuila de zaragoza            ,piedras negras                                    ,0           ,         1 ,8/1/2022      ,0        ,na
       6880 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,coahuila de zaragoza            ,saltillo                                          ,61131163    ,         1 ,9/10/2020     ,0        ,na
       6960 ,consultorios de nutriologos y dietistas del sector privado                                      ,0 a 5 personas     ,coahuila de zaragoza            ,saltillo                                          ,0           ,         0 ,na            ,na       ,na
       7040 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,coahuila de zaragoza            ,acuna                                             ,0           ,         0 ,na            ,na       ,na
       7120 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,coahuila de zaragoza            ,torreon                                           ,671619      ,         1 ,2/9/2020      ,1        ,4/25/2022
       7200 ,consultorios de quiropractica del sector privado                                                ,0 a 5 personas     ,coahuila de zaragoza            ,acuna                                             ,67763169    ,         1 ,3/25/2021     ,1        ,5/25/2022
       7280 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,campeche                        ,carmen                                            ,9361377696  ,         0 ,na            ,na       ,na
       7360 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,coahuila de zaragoza            ,saltillo                                          ,611261      ,         0 ,na            ,na       ,na
       7440 ,consultorios dentales del sector privado                                                        ,6 a 10 personas    ,coahuila de zaragoza            ,saltillo                                          ,0           ,         1 ,3/4/2021      ,0        ,na
       7520 ,consultorios de psicologia del sector privado                                                   ,0 a 5 personas     ,coahuila de zaragoza            ,saltillo                                          ,61111161    ,         0 ,na            ,na       ,na
       7600 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,coahuila de zaragoza            ,monclova                                          ,0           ,         1 ,8/16/2021     ,0        ,na
       7680 ,laboratorios medicos y de diagnostico del sector privado                                        ,0 a 5 personas     ,campeche                        ,campeche                                          ,9611112122  ,         0 ,na            ,na       ,na
       7760 ,consultorios de optometria                                                                      ,0 a 5 personas     ,coahuila de zaragoza            ,saltillo                                          ,1662977     ,         1 ,6/20/2021     ,1        ,10/11/2022
       7840 ,consultorios de optometria                                                                      ,0 a 5 personas     ,coahuila de zaragoza            ,piedras negras                                    ,0           ,         0 ,na            ,na       ,na
       7920 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,coahuila de zaragoza            ,torreon                                           ,6717290100  ,         0 ,na            ,na       ,na
       8000 ,laboratorios medicos y de diagnostico del sector privado                                        ,0 a 5 personas     ,coahuila de zaragoza            ,torreon                                           ,0           ,         1 ,9/30/2020     ,0        ,na
       8080 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,colima                          ,tecoman                                           ,0           ,         1 ,11/6/2020     ,0        ,na
       8160 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,colima                          ,minatitlan                                        ,31296791    ,         1 ,12/30/2020    ,0        ,na
       8240 ,consultorios de psicologia del sector privado                                                   ,0 a 5 personas     ,colima                          ,colima                                            ,31217196    ,         0 ,na            ,na       ,na
       8320 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,colima                          ,villa de alvarez                                  ,0           ,         1 ,7/14/2022     ,0        ,na
       8400 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,colima                          ,villa de alvarez                                  ,0           ,         1 ,2/27/2022     ,1        ,12/22/2022
       8480 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,colima                          ,colima                                            ,0           ,         1 ,2/15/2020     ,1        ,3/6/2021
       8560 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,coahuila de zaragoza            ,saltillo                                          ,6111636133  ,         0 ,na            ,na       ,na
       8640 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,chiapas                         ,tuxtla gutierrez                                  ,0           ,         1 ,8/21/2020     ,1        ,6/7/2022
       8720 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,chiapas                         ,tapachula                                         ,0           ,         1 ,3/8/2021      ,1        ,7/8/2021
       8800 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,chiapas                         ,tuxtla gutierrez                                  ,0           ,         0 ,na            ,na       ,na
       8880 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,chiapas                         ,cacahoatan                                        ,0           ,         1 ,10/11/2021    ,1        ,11/9/2022
       8960 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,chiapas                         ,villa corzo                                       ,96912267    ,         1 ,11/12/2022    ,1        ,12/11/2022
       9040 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,chiapas                         ,tapachula                                         ,0           ,         0 ,na            ,na       ,na
       9120 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,chiapas                         ,ocotepec                                          ,0           ,         1 ,2/5/2021      ,0        ,na
       9200 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,chiapas                         ,ocosingo                                          ,0           ,         0 ,na            ,na       ,na
       9280 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,coahuila de zaragoza            ,saltillo                                          ,6111162122  ,         1 ,10/28/2022    ,1        ,11/23/2022
       9360 ,consultorios de psicologia del sector privado                                                   ,0 a 5 personas     ,chiapas                         ,pijijiapan                                        ,0           ,         1 ,10/14/2022    ,1        ,12/29/2022
       9440 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,chiapas                         ,la independencia                                  ,0           ,         1 ,5/17/2021     ,1        ,12/4/2021
       9520 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,chiapas                         ,comitan de dominguez                              ,9631011031  ,         0 ,na            ,na       ,na
       9600 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,chiapas                         ,tuxtla gutierrez                                  ,0           ,         1 ,2/22/2021     ,0        ,na
       9680 ,laboratorios medicos y de diagnostico del sector privado                                        ,0 a 5 personas     ,chiapas                         ,ocosingo                                          ,91912319    ,         0 ,na            ,na       ,na
       9760 ,laboratorios medicos y de diagnostico del sector privado                                        ,0 a 5 personas     ,chiapas                         ,tuxtla gutierrez                                  ,0           ,         1 ,3/2/2020      ,1        ,7/14/2022
       9840 ,laboratorios medicos y de diagnostico del sector privado                                        ,0 a 5 personas     ,chiapas                         ,siltepec                                          ,0           ,         1 ,5/24/2020     ,0        ,na
       9920 ,consultorios dentales del sector privado                                                        ,6 a 10 personas    ,coahuila de zaragoza            ,saltillo                                          ,6111166171  ,         1 ,4/16/2021     ,0        ,na
      10000 ,laboratorios medicos y de diagnostico del sector privado                                        ,0 a 5 personas     ,coahuila de zaragoza            ,muzquiz                                           ,6616162671  ,         1 ,4/13/2022     ,1        ,12/18/2022
      10080 ,otros consultorios del sector privado para el cuidado de la salud                               ,0 a 5 personas     ,chiapas                         ,chicomuselo                                       ,0           ,         0 ,na            ,na       ,na
      10160 ,hospitales generales del sector privado                                                         ,0 a 5 personas     ,chiapas                         ,tuxtla gutierrez                                  ,0           ,         0 ,na            ,na       ,na
      10240 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,coahuila de zaragoza            ,torreon                                           ,6711169793  ,         1 ,7/2/2021      ,1        ,11/9/2022
      10320 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,chiapas                         ,tuxtla gutierrez                                  ,0           ,         1 ,11/1/2020     ,0        ,na
      10400 ,consultorios de psicologia del sector privado                                                   ,0 a 5 personas     ,chihuahua                       ,chihuahua                                         ,0           ,         1 ,3/12/2020     ,0        ,na
      10480 ,otros consultorios del sector privado para el cuidado de la salud                               ,0 a 5 personas     ,chihuahua                       ,guachochi                                         ,0           ,         0 ,na            ,na       ,na
      10560 ,laboratorios medicos y de diagnostico del sector privado                                        ,6 a 10 personas    ,chihuahua                       ,chihuahua                                         ,61119331    ,         1 ,3/24/2020     ,1        ,1/14/2022
      10640 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,chihuahua                       ,juarez                                            ,696139      ,         0 ,na            ,na       ,na
      10720 ,consultorios de nutriologos y dietistas del sector privado                                      ,0 a 5 personas     ,chihuahua                       ,juarez                                            ,0           ,         0 ,na            ,na       ,na
      10800 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,chihuahua                       ,juarez                                            ,0           ,         0 ,na            ,na       ,na
      10880 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,chihuahua                       ,chihuahua                                         ,0           ,         1 ,1/23/2020     ,1        ,6/15/2022
      10960 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,chihuahua                       ,chihuahua                                         ,6111119966  ,         1 ,3/9/2022      ,0        ,na
      11040 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,chihuahua                       ,juarez                                            ,0           ,         0 ,na            ,na       ,na
      11120 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,chihuahua                       ,juarez                                            ,0           ,         0 ,na            ,na       ,na
      11200 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,chihuahua                       ,juarez                                            ,0           ,         1 ,11/24/2022    ,1        ,12/1/2022
      11280 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,chihuahua                       ,cuauhtemoc                                        ,0           ,         0 ,na            ,na       ,na
      11360 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,chihuahua                       ,chihuahua                                         ,6111392700  ,         0 ,na            ,na       ,na
      11440 ,consultorios de psicologia del sector privado                                                   ,0 a 5 personas     ,chihuahua                       ,juarez                                            ,0           ,         1 ,6/10/2021     ,0        ,na
      11520 ,consultorios de psicologia del sector privado                                                   ,0 a 5 personas     ,chihuahua                       ,delicias                                          ,6391116311  ,         1 ,10/17/2021    ,0        ,na
      11600 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,colima                          ,colima                                            ,3123129191  ,         1 ,4/21/2021     ,1        ,8/8/2022
      11680 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,chihuahua                       ,chihuahua                                         ,61166691    ,         1 ,11/11/2022    ,0        ,na
      11760 ,consultorios de optometria                                                                      ,0 a 5 personas     ,chihuahua                       ,juarez                                            ,6961679119  ,         1 ,9/30/2021     ,1        ,1/28/2022
      11840 ,consultorios de psicologia del sector privado                                                   ,0 a 5 personas     ,chihuahua                       ,juarez                                            ,6966163199  ,         1 ,7/24/2021     ,0        ,na
      11920 ,consultorios de quiropractica del sector privado                                                ,0 a 5 personas     ,chiapas                         ,tonala                                            ,9966716731  ,         0 ,na            ,na       ,na
      12000 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,chihuahua                       ,chihuahua                                         ,61121322    ,         0 ,na            ,na       ,na
      12080 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,chiapas                         ,comitan de dominguez                              ,9631217167  ,         1 ,1/14/2020     ,0        ,na
      12160 ,consultorios de optometria                                                                      ,0 a 5 personas     ,ciudad de mexico                ,cuauhtemoc                                        ,0           ,         1 ,9/20/2022     ,0        ,na
      12240 ,otros consultorios del sector privado para el cuidado de la salud                               ,0 a 5 personas     ,ciudad de mexico                ,iztapalapa                                        ,9919366060  ,         1 ,6/30/2020     ,0        ,na
      12320 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,ciudad de mexico                ,coyoacan                                          ,0           ,         0 ,na            ,na       ,na
      12400 ,consultorios de psicologia del sector privado                                                   ,6 a 10 personas    ,ciudad de mexico                ,tlalpan                                           ,9991719677  ,         0 ,na            ,na       ,na
      12480 ,consultorios de quiropractica del sector privado                                                ,6 a 10 personas    ,ciudad de mexico                ,cuauhtemoc                                        ,0           ,         1 ,1/14/2021     ,1        ,12/29/2022
      12560 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,ciudad de mexico                ,coyoacan                                          ,9926922091  ,         1 ,3/8/2020      ,1        ,1/7/2022
      12640 ,consultorios dentales del sector privado                                                        ,0 a 5 personas     ,ciudad de mexico                ,cuauhtemoc                                        ,99316161    ,         0 ,na            ,na       ,na
      12720 ,"consultorios del sector privado de audiologia y de terapia ocupacional, fisica y del lenguaje" ,0 a 5 personas     ,ciudad de mexico                ,gustavo a. madero                                 ,9922193209  ,         1 ,12/15/2021    ,1        ,1/29/2022
      12800 ,clinicas de consultorios medicos del sector privado                                             ,0 a 5 personas     ,ciudad de mexico                ,gustavo a. madero                                 ,9962379697  ,         0 ,na            ,na       ,na
      12880 ,consultorios de medicina general del sector privado                                             ,6 a 10 personas    ,ciudad de mexico                ,venustiano carranza                               ,0           ,         0 ,na            ,na       ,na
      12960 ,consultorios de psicologia del sector privado                                                   ,0 a 5 personas     ,ciudad de mexico                ,tlalpan                                           ,9931912993  ,         0 ,na            ,na       ,na
      13040 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,ciudad de mexico                ,gustavo a. madero                                 ,9997921790  ,         0 ,na            ,na       ,na
      13120 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,ciudad de mexico                ,iztapalapa                                        ,0           ,         1 ,4/13/2021     ,1        ,11/25/2022
      13200 ,consultorios de medicina especializada del sector privado                                       ,0 a 5 personas     ,ciudad de mexico                ,cuauhtemoc                                        ,9999616199  ,         0 ,na            ,na       ,na
      13280 ,consultorios de medicina general del sector privado                                             ,0 a 5 personas     ,chiapas                         ,villa comaltitlan                                 ,9166169369  ,         1 ,10/18/2020    ,0        ,na
